series_id,year,period,value,footnotes,date,series_name
LNS11000001,2022,M01,86948.0,,2022-01-01,Labor Force - Men
LNS11000001,2022,M02,87488.0,,2022-02-01,Labor Force - Men
LNS11000001,2022,M03,87411.0,,2022-03-01,Labor Force - Men
LNS11000001,2022,M04,87210.0,,2022-04-01,Labor Force - Men
LNS11000001,2022,M05,87387.0,,2022-05-01,Labor Force - Men
LNS11000001,2022,M06,87166.0,,2022-06-01,Labor Force - Men
LNS11000001,2022,M07,87097.0,,2022-07-01,Labor Force - Men
LNS11000001,2022,M08,87336.0,,2022-08-01,Labor Force - Men
LNS11000001,2022,M09,87639.0,,2022-09-01,Labor Force - Men
LNS11000001,2022,M10,87798.0,,2022-10-01,Labor Force - Men
LNS11000001,2022,M11,87704.0,,2022-11-01,Labor Force - Men
LNS11000001,2022,M12,87844.0,,2022-12-01,Labor Force - Men
LNS11000001,2023,M01,88383.0,,2023-01-01,Labor Force - Men
LNS11000001,2023,M02,88607.0,,2023-02-01,Labor Force - Men
LNS11000001,2023,M03,88896.0,,2023-03-01,Labor Force - Men
LNS11000001,2023,M04,88675.0,,2023-04-01,Labor Force - Men
LNS11000001,2023,M05,88757.0,,2023-05-01,Labor Force - Men
LNS11000001,2023,M06,88740.0,,2023-06-01,Labor Force - Men
LNS11000001,2023,M07,88763.0,,2023-07-01,Labor Force - Men
LNS11000001,2023,M08,89003.0,,2023-08-01,Labor Force - Men
LNS11000001,2023,M09,89190.0,,2023-09-01,Labor Force - Men
LNS11000001,2023,M10,88866.0,,2023-10-01,Labor Force - Men
LNS11000001,2023,M11,89516.0,,2023-11-01,Labor Force - Men
LNS11000001,2023,M12,89170.0,,2023-12-01,Labor Force - Men
LNS11000001,2024,M01,88551.0,,2024-01-01,Labor Force - Men
LNS11000001,2024,M02,88541.0,,2024-02-01,Labor Force - Men
LNS11000001,2024,M03,88919.0,,2024-03-01,Labor Force - Men
LNS11000001,2024,M04,88692.0,,2024-04-01,Labor Force - Men
LNS11000001,2024,M05,88683.0,,2024-05-01,Labor Force - Men
LNS11000001,2024,M06,89131.0,,2024-06-01,Labor Force - Men
LNS11000001,2024,M07,89222.0,,2024-07-01,Labor Force - Men
LNS11000001,2024,M08,88853.0,,2024-08-01,Labor Force - Men
LNS11000001,2024,M09,89324.0,,2024-09-01,Labor Force - Men
LNS11000001,2024,M10,89361.0,,2024-10-01,Labor Force - Men
LNS11000001,2024,M11,89151.0,,2024-11-01,Labor Force - Men
LNS11000001,2024,M12,89304.0,,2024-12-01,Labor Force - Men
LNS11000001,2025,M01,90388.0,,2025-01-01,Labor Force - Men
LNS11000001,2025,M02,90078.0,,2025-02-01,Labor Force - Men
LNS11000001,2025,M03,90306.0,,2025-03-01,Labor Force - Men
LNS11000001,2025,M04,90642.0,,2025-04-01,Labor Force - Men
LNS11000001,2025,M05,90388.0,,2025-05-01,Labor Force - Men
LNS11000001,2025,M06,90458.0,,2025-06-01,Labor Force - Men
LNS11000001,2025,M07,90360.0,,2025-07-01,Labor Force - Men
LNS11000001,2025,M08,90804.0,,2025-08-01,Labor Force - Men
LNS11000001,2025,M09,90685.0,,2025-09-01,Labor Force - Men
LNS11000001,2025,M11,90739.0,,2025-11-01,Labor Force - Men
LNS11000001,2025,M12,90780.0,,2025-12-01,Labor Force - Men
LNS11000001,2026,M01,89200.0,"January 2026 estimates were revised to incorporate updated population controls. For more information, see www.bls.gov/cps/documentation.htm#pop.",2026-01-01,Labor Force - Men
LNS11000001,2026,M02,89101.0,,2026-02-01,Labor Force - Men
LNS11000001,2026,M03,88846.0,,2026-03-01,Labor Force - Men
LNS11000002,2022,M01,76665.0,,2022-01-01,Labor Force - Women
LNS11000002,2022,M02,76489.0,,2022-02-01,Labor Force - Women
LNS11000002,2022,M03,76860.0,,2022-03-01,Labor Force - Women
LNS11000002,2022,M04,76637.0,,2022-04-01,Labor Force - Women
LNS11000002,2022,M05,76986.0,,2022-05-01,Labor Force - Women
LNS11000002,2022,M06,76893.0,,2022-06-01,Labor Force - Women
LNS11000002,2022,M07,76979.0,,2022-07-01,Labor Force - Women
LNS11000002,2022,M08,77317.0,,2022-08-01,Labor Force - Women
LNS11000002,2022,M09,76922.0,,2022-09-01,Labor Force - Women
LNS11000002,2022,M10,76822.0,,2022-10-01,Labor Force - Women
LNS11000002,2022,M11,76697.0,,2022-11-01,Labor Force - Women
LNS11000002,2022,M12,77140.0,,2022-12-01,Labor Force - Women
LNS11000002,2023,M01,77560.0,,2023-01-01,Labor Force - Women
LNS11000002,2023,M02,77836.0,,2023-02-01,Labor Force - Women
LNS11000002,2023,M03,77812.0,,2023-03-01,Labor Force - Women
LNS11000002,2023,M04,77999.0,,2023-04-01,Labor Force - Women
LNS11000002,2023,M05,78139.0,,2023-05-01,Labor Force - Women
LNS11000002,2023,M06,78219.0,,2023-06-01,Labor Force - Women
LNS11000002,2023,M07,78406.0,,2023-07-01,Labor Force - Women
LNS11000002,2023,M08,78757.0,,2023-08-01,Labor Force - Women
LNS11000002,2023,M09,78535.0,,2023-09-01,Labor Force - Women
LNS11000002,2023,M10,78794.0,,2023-10-01,Labor Force - Women
LNS11000002,2023,M11,78574.0,,2023-11-01,Labor Force - Women
LNS11000002,2023,M12,78218.0,,2023-12-01,Labor Force - Women
LNS11000002,2024,M01,78757.0,,2024-01-01,Labor Force - Women
LNS11000002,2024,M02,79028.0,,2024-02-01,Labor Force - Women
LNS11000002,2024,M03,79063.0,,2024-03-01,Labor Force - Women
LNS11000002,2024,M04,79231.0,,2024-04-01,Labor Force - Women
LNS11000002,2024,M05,79124.0,,2024-05-01,Labor Force - Women
LNS11000002,2024,M06,78902.0,,2024-06-01,Labor Force - Women
LNS11000002,2024,M07,79173.0,,2024-07-01,Labor Force - Women
LNS11000002,2024,M08,79638.0,,2024-08-01,Labor Force - Women
LNS11000002,2024,M09,79338.0,,2024-09-01,Labor Force - Women
LNS11000002,2024,M10,79034.0,,2024-10-01,Labor Force - Women
LNS11000002,2024,M11,79097.0,,2024-11-01,Labor Force - Women
LNS11000002,2024,M12,79202.0,,2024-12-01,Labor Force - Women
